2024-08-26 20:56:31.151,511,510,511,510,510,510
2024-08-26 20:56:31.162,510,510,510,511,511,511
2024-08-26 20:56:31.162,511,510,511,511,510,511
2024-08-26 20:56:31.162,511,511,511,511,511,511
2024-08-26 20:56:31.162,511,511,511,512,511,512
2024-08-26 20:56:31.165,511,510,511,511,511,511
2024-08-26 20:56:31.167,511,510,511,511,512,511
2024-08-26 20:56:31.168,511,510,511,510,510,511
2024-08-26 20:56:31.168,511,511,511,511,511,511
2024-08-26 20:56:31.170,511,510,511,511,511,511
2024-08-26 20:56:31.172,511,510,511,510,511,511
2024-08-26 20:56:31.175,511,511,511,511,510,511
2024-08-26 20:56:31.178,511,510,511,511,511,511
2024-08-26 20:56:31.178,510,510,510,510,511,510
2024-08-26 20:56:31.181,511,510,511,511,511,511
2024-08-26 20:56:31.183,511,510,512,511,510,511
2024-08-26 20:56:31.186,510,510,511,510,510,511
2024-08-26 20:56:31.186,511,511,511,510,511,511
2024-08-26 20:56:31.189,510,510,510,511,511,511
2024-08-26 20:56:31.192,512,511,512,511,512,511
2024-08-26 20:56:31.194,510,510,510,510,510,511
2024-08-26 20:56:31.197,510,510,511,511,511,511
2024-08-26 20:56:31.197,511,510,511,511,511,511
2024-08-26 20:56:31.200,511,511,511,511,511,512
2024-08-26 20:56:31.202,510,510,510,510,509,510
2024-08-26 20:56:31.205,511,510,510,510,511,511
2024-08-26 20:56:31.205,510,510,510,511,510,510
2024-08-26 20:56:31.208,511,511,511,511,511,511
2024-08-26 20:56:31.211,510,510,510,510,510,511
2024-08-26 20:56:31.213,511,510,510,510,511,511
2024-08-26 20:56:31.216,510,510,510,510,511,510
2024-08-26 20:56:31.216,510,510,511,510,509,511
2024-08-26 20:56:31.219,510,510,511,510,510,511
2024-08-26 20:56:31.221,511,510,511,510,511,511
2024-08-26 20:56:31.224,511,511,511,511,511,512
2024-08-26 20:56:31.227,510,510,511,510,510,510
2024-08-26 20:56:31.227,511,511,511,512,512,511
2024-08-26 20:56:31.230,510,509,510,510,510,510
2024-08-26 20:56:31.232,511,510,511,511,512,511
2024-08-26 20:56:31.235,510,509,510,510,509,510
2024-08-26 20:56:31.235,511,510,511,510,510,511
2024-08-26 20:56:31.238,511,511,510,511,510,511
2024-08-26 20:56:31.241,512,512,512,512,512,513
2024-08-26 20:56:31.243,511,511,511,510,511,511
2024-08-26 20:56:31.246,511,510,511,512,511,512
2024-08-26 20:56:31.246,511,510,511,511,511,510
2024-08-26 20:56:31.249,511,510,511,511,512,511
2024-08-26 20:56:31.252,511,510,511,510,510,510
2024-08-26 20:56:31.254,510,510,510,511,510,511
2024-08-26 20:56:31.254,511,510,511,511,511,511
2024-08-26 20:56:31.257,511,510,511,511,512,512
2024-08-26 20:56:31.260,511,511,511,511,511,511
2024-08-26 20:56:31.262,511,511,511,511,511,511
2024-08-26 20:56:31.265,511,510,511,511,510,511
2024-08-26 20:56:31.265,510,509,510,509,510,510
2024-08-26 20:56:31.268,511,511,511,511,511,511
2024-08-26 20:56:31.271,510,510,510,511,510,510
2024-08-26 20:56:31.273,511,511,511,511,511,511
2024-08-26 20:56:31.273,511,510,510,510,511,511
2024-08-26 20:56:31.276,511,511,511,512,511,511
2024-08-26 20:56:31.279,511,511,511,511,510,510
2024-08-26 20:56:31.281,510,510,510,510,511,511
2024-08-26 20:56:31.284,510,510,510,509,510,509
2024-08-26 20:56:31.284,511,511,511,511,510,511
2024-08-26 20:56:31.287,510,510,510,510,509,510
2024-08-26 20:56:31.290,510,510,511,511,512,512
2024-08-26 20:56:31.292,511,511,511,511,511,510
2024-08-26 20:56:31.295,510,510,510,511,510,511
2024-08-26 20:56:31.295,511,511,511,510,510,510
2024-08-26 20:56:31.298,510,510,510,510,511,511
2024-08-26 20:56:31.300,511,510,511,511,511,510
2024-08-26 20:56:31.304,510,509,510,510,509,511
2024-08-26 20:56:31.304,510,510,510,510,509,511
2024-08-26 20:56:31.306,510,510,510,511,511,511
2024-08-26 20:56:31.309,511,511,511,511,511,511
2024-08-26 20:56:31.312,509,509,510,510,509,510
2024-08-26 20:56:31.314,511,510,511,510,510,511
2024-08-26 20:56:31.314,510,510,510,510,510,510
2024-08-26 20:56:31.317,511,510,511,511,511,511
2024-08-26 20:56:31.320,510,510,510,510,510,511
2024-08-26 20:56:31.323,510,510,511,511,510,511
2024-08-26 20:56:31.323,511,511,511,512,512,512
2024-08-26 20:56:31.325,511,510,511,510,511,511
2024-08-26 20:56:31.328,510,510,510,510,510,510
2024-08-26 20:56:31.331,510,510,510,510,510,510
2024-08-26 20:56:31.333,510,510,510,510,511,510
2024-08-26 20:56:31.333,510,510,510,510,511,510
2024-08-26 20:56:31.336,511,511,511,511,510,510
2024-08-26 20:56:31.339,510,509,510,510,510,511
2024-08-26 20:56:31.342,513,513,512,512,513,513
2024-08-26 20:56:31.342,510,510,511,510,510,511
2024-08-26 20:56:31.344,511,511,512,511,510,511
2024-08-26 20:56:31.347,511,510,511,511,510,511
2024-08-26 20:56:31.350,511,511,511,511,511,511
