3.9000000000000035,4.900000000000004
13.900000000000004,14.900000000000004
18.900000000000006,19.900000000000006
23.800000000000004,24.800000000000004
28.800000000000004,29.800000000000004
33.800000000000004,34.800000000000004
38.800000000000004,39.800000000000004
43.800000000000004,44.800000000000004
48.800000000000004,49.800000000000004
53.800000000000004,54.800000000000004
58.900000000000006,59.900000000000006
63.900000000000006,64.9
73.9,74.9
78.9,79.9
83.9,84.9
88.9,89.9
93.9,94.9
98.80000000000001,99.80000000000001
103.9,104.9
108.9,109.9
113.9,114.9
118.80000000000001,119.80000000000001
