3.9000000000000035,4.900000000000004
9.100000000000003,10.100000000000003
14.000000000000004,15.000000000000004
18.8,19.8
23.8,24.8
28.900000000000002,29.900000000000002
33.900000000000006,34.900000000000006
38.800000000000004,39.800000000000004
43.800000000000004,44.800000000000004
48.900000000000006,49.900000000000006
53.900000000000006,54.900000000000006
58.800000000000004,59.800000000000004
63.9,64.9
68.9,69.9
73.80000000000001,74.80000000000001
78.80000000000001,79.80000000000001
83.9,84.9
88.9,89.9
93.9,94.9
98.9,99.9
103.80000000000001,104.80000000000001
108.80000000000001,109.80000000000001
113.9,114.9
119.0,120.0
123.80000000000001,124.80000000000001
128.8,129.8
